iter	Passed	Remaining
0	152	152419
1	154	76942
2	155	51695
3	157	39111
4	158	31546
5	160	26529
6	161	22897
7	162	20193
8	164	18117
9	165	16427
10	167	15042
11	168	13899
12	170	12921
13	171	12087
14	172	11356
15	174	10761
16	176	10222
17	178	9718
18	179	9262
19	180	8857
20	182	8498
21	183	8162
22	185	7860
23	186	7582
24	187	7326
25	189	7086
26	190	6863
27	191	6657
28	193	6465
29	194	6287
30	195	6124
31	197	5980
32	199	5837
33	200	5698
34	201	5566
35	203	5443
36	204	5327
37	206	5220
38	207	5114
39	208	5014
40	210	4918
41	211	4824
42	212	4735
43	214	4654
44	215	4574
45	216	4498
46	218	4424
47	219	4353
48	220	4286
49	222	4219
50	223	4157
51	224	4099
52	226	4042
53	227	3985
54	228	3931
55	230	3884
56	231	3836
57	233	3790
58	234	3743
59	236	3700
60	237	3655
61	238	3612
62	240	3570
63	241	3533
64	243	3495
65	244	3457
66	245	3419
67	246	3383
68	248	3350
69	249	3315
70	250	3282
71	252	3251
72	253	3220
73	254	3189
74	256	3158
75	257	3130
76	258	3103
77	260	3075
78	261	3047
79	262	3022
80	264	2997
81	265	2971
82	266	2941
83	267	2917
84	268	2895
85	270	2872
86	271	2849
87	272	2827
88	274	2806
89	275	2785
90	276	2765
91	278	2744
92	279	2726
93	280	2708
94	282	2690
95	283	2671
96	285	2654
97	286	2637
98	287	2620
99	289	2602
100	290	2586
101	291	2569
102	293	2553
103	294	2536
104	295	2522
105	297	2508
106	298	2492
107	299	2476
108	301	2462
109	302	2448
110	303	2433
111	305	2419
112	306	2405
113	307	2392
114	309	2379
115	310	2366
116	311	2351
117	312	2339
118	314	2327
119	315	2314
120	316	2301
121	318	2288
122	319	2277
123	320	2265
124	322	2254
125	323	2244
126	324	2233
127	326	2222
128	327	2211
129	328	2200
130	330	2190
131	331	2179
132	332	2168
133	334	2159
134	335	2151
135	336	2140
136	338	2130
137	339	2121
138	341	2112
139	342	2103
140	343	2093
141	344	2082
142	346	2074
143	347	2065
144	348	2056
145	350	2049
146	351	2041
147	353	2032
148	354	2024
149	356	2019
150	357	2011
151	359	2003
152	360	1995
153	361	1987
154	362	1978
155	364	1970
156	365	1961
157	366	1954
158	368	1947
159	369	1940
160	370	1930
161	371	1923
162	373	1916
163	374	1908
164	375	1901
165	377	1894
166	378	1888
167	379	1881
168	381	1874
169	382	1867
170	383	1861
171	385	1854
172	386	1847
173	387	1840
174	389	1833
175	390	1827
176	391	1820
177	392	1813
178	393	1807
179	395	1800
180	396	1794
181	397	1788
182	399	1781
